,ID,Station Name,Address,Total Docks,Docks in Service,Status,Latitude,Longitude,Location
551,400,Cottage Grove Ave & 71st St,Cottage Grove Ave & 71st St,11,11,In Service,41.765719037,-87.604959713,"(41.76571903697, -87.604959713)"
552,489,Drake Ave & Addison St,Central Park Ave & Addison St,15,15,In Service,41.947326,-87.717582,"(41.947326, -87.717582)"
553,501,Richmond St & Diversey Ave,Richmond St & Diversey Ave,15,14,In Service,41.931901969,-87.70119513,"(41.93190196886, -87.7011951301)"
554,524,Austin Blvd & Chicago Ave,Austin Blvd & Chicago Ave,7,7,In Service,41.894887,-87.774704,"(41.894887, -87.774704)"
555,348,California Ave & 21st St,California Ave & 21st St,15,15,In Service,41.854016,-87.695445,"(41.854016, -87.695445)"
556,168,Michigan Ave & 14th St,Michigan Ave & 14th St,19,19,In Service,41.864059,-87.623727,"(41.864059, -87.623727)"
557,199,Wabash Ave & Grand Ave,Wabash Ave & Grand Ave,31,28,In Service,41.891466,-87.626761,"(41.891466, -87.626761)"
558,26,McClurg Ct & Illinois St,McClurg Ct & Illinois St,31,30,In Service,41.890359,-87.617532,"(41.890359, -87.617532)"
559,254,Pine Grove Ave & Irving Park Rd,Pine Grove Ave & Irving Park Rd,15,15,In Service,41.954383,-87.648043,"(41.954383, -87.648043)"
560,268,Lake Shore Dr & North Blvd,Lake Shore Dr & North Blvd,39,38,In Service,41.911722,-87.626804,"(41.911722, -87.626804)"
561,244,Ravenswood Ave & Irving Park Rd,Ravenswood Ave & Irving Park Rd,19,17,In Service,41.95469,-87.67393,"(41.95469, -87.67393)"
562,603,Chicago Ave & Sheridan Rd,Chicago Ave & Sheridan Rd,15,14,In Service,42.050491,-87.677821,"(42.050491, -87.677821)"
563,236,Sedgwick St & Schiller St,Sedgwick St & Schiller St,15,15,In Service,41.907626,-87.638566,"(41.907626, -87.638566)"
564,213,Leavitt St & North Ave,Leavitt St & North Ave,15,14,In Service,41.910153,-87.68229,"(41.910153, -87.68229)"
565,67,Sheffield Ave & Fullerton Ave,2410 N Sheffield Ave,27,27,In Service,41.925601882,-87.653708042,"(41.9256018819, -87.6537080423)"
566,177,Theater on the Lake,Theater on the Lake,31,29,In Service,41.926277,-87.630834,"(41.926277, -87.630834)"
567,468,Budlong Woods Library,Budlong Woods Library,11,11,In Service,41.983664709,-87.696422561,"(41.98366470886, -87.6964225611)"
568,604,Sheridan Rd & Noyes St (NU),Sheridan Rd & Noyes St (NU),15,15,In Service,42.058239,-87.677432,"(42.058239, -87.677432)"
569,326,Clark St & Leland Ave,Clark St & Leland Ave,19,19,In Service,41.967096,-87.667429,"(41.967096, -87.667429)"
570,54,Ogden Ave & Chicago Ave,1040 W. Chicago Ave.,19,19,In Service,41.896362458,-87.654061273,"(41.896362458, -87.6540612729)"
571,294,Broadway & Berwyn Ave,Broadway & Berwyn Ave,15,15,In Service,41.978353,-87.659753,"(41.978353, -87.659753)"
572,322,Kimbark Ave & 53rd St,Kimbark Ave & 53rd St,19,17,In Service,41.799568,-87.594747,"(41.799568, -87.594747)"
