,SYSTEMSTOP,OBJECTID,the_geom,STREET,CROSS_ST,DIR,POS,ROUTESSTPG,OWLROUTES,CITY,STATUS,PUBLIC_NAM,Longitude,Latitude
9034,3396,9638,POINT (-87.70075099899998 41.77894200100002),63RD STREET,ALBANY,EB,NS,63,N63,CHICAGO,1,63rd Street & Albany,-87.700751,41.778942
9035,527,9639,POINT (-87.73356209000002 41.895159353999986),CHICAGO,KILDARE,EB,NT,66,,CHICAGO,1,Chicago & Kildare,-87.73356209,41.89515935
9036,9233,9640,POINT (-87.81418599900002 41.937914999999975),BELMONT,OLCOTT,EB,NS,77,,CHICAGO,1,Belmont & Olcott,-87.814186,41.937915
9037,10965,9641,POINT (-87.80293100099999 41.93073700000002),DIVERSEY,NORDICA,EB,NS,76,,CHICAGO,1,Diversey & Nordica,-87.802931,41.930737
9038,3402,9642,POINT (-87.68617599999999 41.779157),63RD STREET,CAMPBELL,EB,NS,63,N63,CHICAGO,1,63rd Street & Campbell,-87.686176,41.779157
9039,12457,9643,POINT (-87.63239489 41.67786389700001),119TH STREET,STEWART,EB,NS,119,,CHICAGO,1,119th Street & Stewart,-87.63239489,41.6778639
9040,11317,9644,POINT (-87.76452999899999 41.96044699999999),MONTROSE,LINDER,EB,FS,78,,CHICAGO,1,Montrose & Linder,-87.76453,41.960447
9041,17011,9645,POINT (-87.67486605699997 41.90879551299997),MILWAUKEE,HONORE (east leg),NWB,FS,56,,CHICAGO,1,Milwaukee & Honore,-87.67486606,41.90879551
9042,4554,9646,POINT (-87.77460499900002 41.79242900000003),55TH STREET,MEADE,EB,NS,55N,,CHICAGO,1,55th Street & Meade,-87.774605,41.792429
9043,14706,9647,POINT (-87.70019070199999 42.05194941899998),EMERSON,BROWN,EB,NS,205,,EVANSTON,1,Emerson & Brown,-87.7001907,42.05194942
9044,10992,9648,POINT (-87.74064724700003 41.931542928),DIVERSEY,KOLMAR (west leg),EB,MT,76,,CHICAGO,1,Diversey & Kolmar,-87.74064725,41.93154293
9045,10933,9649,POINT (-87.62163399999997 41.758201000999975),75TH STREET,MICHIGAN,EB,NS,75,,CHICAGO,1,75th Street & Michigan,-87.621634,41.758201
9046,5639,9650,POINT (-87.72518569300001 41.95358389199998),IRVING PARK,SPRINGFIELD,EB,NS,80,,CHICAGO,1,Irving Park & Springfield,-87.72518569,41.95358389
9047,1314,9651,POINT (-87.72933700099998 41.92439300000001),FULLERTON,KARLOV,EB,NS,74,,CHICAGO,1,Fullerton & Karlov,-87.729337,41.924393
9048,5611,9652,POINT (-87.79392499900001 41.95272000099999),IRVING PARK,NORMANDY,EB,NS,80,,CHICAGO,1,Irving Park & Normandy,-87.793925,41.95272
9049,10187,9653,POINT (-87.60100148999999 41.773133418999976),67TH STREET,ELLIS,EB,NT,"N5,67",N5,CHICAGO,1,67th Street & Ellis,-87.60100149,41.77313342
9050,15393,9654,POINT (-87.619296615 41.890969122),ILLINOIS,COLUMBUS,EB,FS,"2,29,65,66",,CHICAGO,6,Illinois & Columbus,-87.61929662,41.89096912
9051,10782,9655,POINT (-87.621881369 41.76550604200003),71ST STREET,MICHIGAN,EB,NS,71,,CHICAGO,1,71st Street & Michigan,-87.62188137,41.76550604
9052,12127,9656,POINT (-87.706351198 41.706026570999995),103RD STREET,HOMAN,EB,NS,103,,CHICAGO,1,103rd Street & Homan,-87.7063512,41.70602657
9053,14879,9657,POINT (-87.74396589899999 41.851152679999984),CERMAK,CICERO,EB,FS,21,,CICERO,1,Cermak & Cicero,-87.7439659,41.85115268
9054,6930,9658,POINT (-87.68328000000002 41.85200099999997),CERMAK,OAKLEY,EB,NS,21,,CHICAGO,1,Cermak & Oakley,-87.68328,41.852001
9055,872,9659,POINT (-87.74041353199999 41.90961619299998),NORTH AVENUE,KENTON,EB,FT,72,,CHICAGO,1,North Ave & Kenton,-87.74041353,41.90961619
9056,11707,9660,POINT (-87.78537799999998 41.91673500000002),NARRAGANSETT,McLEAN,SB,NS,86,,CHICAGO,1,Narragansett & McLean,-87.785378,41.916735
9057,7197,9661,POINT (-87.58588699199998 41.747894444999986),STONY ISLAND,81ST STREET,SB,NS,28,,CHICAGO,1,Stony Island & 81st Street,-87.58588699,41.74789445
9058,5990,9662,POINT (-87.64152299900002 41.66341299999999),HALSTED,127TH STREET,SB,NS,"8A,108",,CALUMET PARK,1,Halsted & 127th Street,-87.641523,41.663413
9059,3095,9663,POINT (-87.70335783500002 41.784528497999986),KEDZIE,60TH STREET,SB,NS,"52,52A",,CHICAGO,1,Kedzie & 60th Street,-87.70335784,41.7845285
