,STOP_ID,STOP_NAME,STATION_NAME,MAP_ID,ADA,RED,BLUE,G,BRN,P,Pexp,Y,Pnk,O,Location,Latitude,Longitude
253,30081,Roosevelt (Midway-63rd-bound),Roosevelt,41400,True,False,False,True,False,False,False,False,False,True,"(41.867405, -87.62659)",41.867405,-87.62659
254,30080,Roosevelt (Loop-Harlem-bound),Roosevelt,41400,True,False,False,True,False,False,False,False,False,True,"(41.867405, -87.62659)",41.867405,-87.62659
255,30269,Roosevelt (Howard-bound),Roosevelt,41400,True,True,False,False,False,False,False,False,False,False,"(41.867368, -87.627402)",41.867368,-87.627402
256,30270,Roosevelt (95th-bound),Roosevelt,41400,True,True,False,False,False,False,False,False,False,False,"(41.867368, -87.627402)",41.867368,-87.627402
257,30159,Rosemont (O'Hare-bound),Rosemont,40820,True,False,True,False,False,False,False,False,False,False,"(41.983507, -87.859388)",41.983507,-87.859388
258,30160,Rosemont (Forest Pk-bound),Rosemont,40820,True,False,True,False,False,False,False,False,False,False,"(41.983507, -87.859388)",41.983507,-87.859388
259,30155,Sedgwick (Kimball-Linden-bound),Sedgwick,40800,True,False,False,False,True,False,True,False,False,False,"(41.910409, -87.639302)",41.910409,-87.639302
260,30156,Sedgwick (Loop-bound),Sedgwick,40800,True,False,False,False,True,False,True,False,False,False,"(41.910409, -87.639302)",41.910409,-87.639302
261,30017,Sheridan (95th-bound),Sheridan,40080,False,True,False,False,False,False,False,False,False,False,"(41.953775, -87.654929)",41.953775,-87.654929
262,30016,Sheridan (Howard-bound),Sheridan,40080,False,True,False,False,False,False,False,False,False,False,"(41.953775, -87.654929)",41.953775,-87.654929
263,30293,Sheridan (Howard-Linden-bound),Sheridan,40080,False,False,False,False,False,False,False,False,False,False,"(41.953775, -87.654929)",41.953775,-87.654929
264,30294,Sheridan (Loop-bound),Sheridan,40080,False,False,False,False,False,False,False,False,False,False,"(41.953775, -87.654929)",41.953775,-87.654929
265,30163,South Blvd (Linden-bound),South Boulevard,40840,False,False,False,False,False,True,True,False,False,False,"(42.027612, -87.678329)",42.027612,-87.678329
266,30164,South Blvd (Howard-Loop-bound),South Boulevard,40840,False,False,False,False,False,True,True,False,False,False,"(42.027612, -87.678329)",42.027612,-87.678329
